management_id,title,comment,platform,大ジャンル,小ジャンル,purchase_price,sold_price,shipping_fee,sales_fee_rate,status,sold_at
"DUMMY-202503-0023","ブラウン デニム 良品","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用","メルカリ","ボトムス","デニム","3700","10300","210","10","sold","2025-03-20"
"DUMMY-202503-0024","ネイビー Gジャン 美品","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用","メルカリ","アウター","Gジャン","6750","12400","1000","10","sold","2025-03-13"
"DUMMY-202503-0025","レッド コート ヴィンテージ","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用","メルカリ","アウター","コート","4210","9000","850","10","sold","2025-03-27"
"DUMMY-202503-0026","イエロー シャツ ストリート","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用","ヤフオク","トップス","シャツ","3130","5500","450","10","sold","2025-03-25"
"DUMMY-202503-0027","カーキ 帽子 ヴィンテージ","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用","メルカリ","アクセサリー","帽子","2160","4800","300","10","sold","2025-03-15"
"DUMMY-202503-0028","ネイビー スニーカー 美品","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用","メルカリ","シューズ","スニーカー","2320","5800","520","10","sold","2025-03-22"
"DUMMY-202503-0029","グリーン Tシャツ 使用感あり","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用","ラクマ","トップス","Tシャツ","1710","5100","520","10","sold","2025-03-29"
"DUMMY-202503-0030","パープル コート 一点物","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用","ヤフオク","アウター","コート","6630","18800","750","10","sold","2025-03-12"
"DUMMY-202503-0031","グリーン シャツ ヴィンテージ","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用","ヤフオク","トップス","シャツ","3440","8500","520","10","sold","2025-03-10"
"DUMMY-202503-0032","レッド Gジャン 美品","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用","その他","アウター","Gジャン","7340","14200","750","0","sold","2025-03-13"
"DUMMY-202503-0033","ベージュ パーカー 使用感あり","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用 / 下書きダミー","メルカリ","トップス","パーカー","3120","0","0","10","draft",""
"DUMMY-202503-0034","ネイビー デニム 90s","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用","ヤフオク","ボトムス","デニム","2190","5400","210","10","sold","2025-03-29"
"DUMMY-202503-0035","レッド コート 人気ブランド","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用","メルカリ","アウター","コート","3870","11500","1000","10","sold","2025-03-19"
"DUMMY-202503-0036","ベージュ その他 ヴィンテージ","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用","ヤフオク","その他","その他","1610","3000","520","10","sold","2025-03-14"
"DUMMY-202504-0037","グレー ニット ヴィンテージ","CSVダミーデータ 2025年4月 売上・利益・ジャンル分析検証用 / 下書きダミー","Yahooフリマ","トップス","ニット","3290","0","0","5","draft",""
"DUMMY-202504-0038","ベージュ パーカー ストリート","CSVダミーデータ 2025年4月 売上・利益・ジャンル分析検証用","Yahooフリマ","トップス","パーカー","2380","6100","450","5","sold","2025-04-14"
"DUMMY-202504-0039","ブラウン スウェット ヴィンテージ","CSVダミーデータ 2025年4月 売上・利益・ジャンル分析検証用 / 未売却ダミー","ヤフオク","トップス","スウェット","3320","0","0","10","selling",""
"DUMMY-202504-0040","ブラウン サンダル 一点物","CSVダミーデータ 2025年4月 売上・利益・ジャンル分析検証用","Yahooフリマ","シューズ","サンダル","3530","9500","850","5","sold","2025-04-12"
"DUMMY-202504-0041","ブラウン Tシャツ 一点物","CSVダミーデータ 2025年4月 売上・利益・ジャンル分析検証用","メルカリ","トップス","Tシャツ","2120","4400","520","10","sold","2025-04-21"
"DUMMY-202504-0042","ブラウン スニーカー 90s","CSVダミーデータ 2025年4月 売上・利益・ジャンル分析検証用 / 未売却ダミー","ヤフオク","シューズ","スニーカー","4220","0","0","10","selling",""
"DUMMY-202504-0043","ネイビー スラックス きれいめ","CSVダミーデータ 2025年4月 売上・利益・ジャンル分析検証用","メルカリ","ボトムス","スラックス","2370","4900","450","10","sold","2025-04-13"
"DUMMY-202504-0044","ホワイト コート 一点物","CSVダミーデータ 2025年4月 売上・利益・ジャンル分析検証用","メルカリ","アウター","コート","7050","9700","1400","10","sold","2025-04-14"
"DUMMY-202504-0045","グリーン パーカー 90s","CSVダミーデータ 2025年4月 売上・利益・ジャンル分析検証用 / 未売却ダミー","ヤフオク","トップス","パーカー","3190","0","0","10","selling",""
"DUMMY-202504-0046","ネイビー ニット 良品","CSVダミーデータ 2025年4月 売上・利益・ジャンル分析検証用","メルカリ","トップス","ニット","2130","3900","230","10","sold","2025-04-29"
"DUMMY-202504-0047","パープル Tシャツ 使用感あり","CSVダミーデータ 2025年4月 売上・利益・ジャンル分析検証用","その他","トップス","Tシャツ","1650","4200","750","0","sold","2025-04-30"
"DUMMY-202504-0048","ブルー チノパン 一点物","CSVダミーデータ 2025年4月 売上・利益・ジャンル分析検証用","ヤフオク","ボトムス","チノパン","3290","5700","230","10","sold","2025-04-16"
"DUMMY-202504-0049","ブルー パーカー 一点物","CSVダミーデータ 2025年4月 売上・利益・ジャンル分析検証用","Yahooフリマ","トップス","パーカー","2850","4900","230","5","sold","2025-04-16"
"DUMMY-202505-0050","ブラック その他 美品","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","メルカリ","その他","その他","1660","5400","750","10","sold","2025-05-23"
"DUMMY-202505-0051","パープル ナイロンジャケット 美品","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","Yahooフリマ","アウター","ナイロンジャケット","7580","25700","1400","5","sold","2025-05-07"
"DUMMY-202505-0052","パープル 腕時計 ストリート","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","ヤフオク","アクセサリー","腕時計","2160","6300","230","10","sold","2025-05-23"
"DUMMY-202505-0053","パープル パーカー ヴィンテージ","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","メルカリ","トップス","パーカー","2470","6200","750","10","sold","2025-05-16"
"DUMMY-202505-0054","レッド レザージャケット 使用感あり","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","ヤフオク","アウター","レザージャケット","6970","21800","1400","10","sold","2025-05-13"
"DUMMY-202505-0055","レッド サンダル 美品","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","ラクマ","シューズ","サンダル","4330","11700","750","10","sold","2025-05-22"
"DUMMY-202505-0056","グレー デニム 訳あり","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","メルカリ","ボトムス","デニム","3520","4400","520","10","sold","2025-05-12"
"DUMMY-202505-0057","カーキ デニム ヴィンテージ","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","Yahooフリマ","ボトムス","デニム","1930","4200","230","5","sold","2025-05-20"
"DUMMY-202505-0058","パープル その他 訳あり","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","ヤフオク","その他","その他","900","1900","210","10","sold","2025-05-10"
"DUMMY-202505-0059","パープル Tシャツ 人気ブランド","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","その他","トップス","Tシャツ","2640","8600","230","0","sold","2025-05-23"
"DUMMY-202505-0060","ネイビー 帽子 一点物","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","その他","アクセサリー","帽子","2150","4700","300","0","sold","2025-05-21"
"DUMMY-202505-0061","ブルー レザージャケット 人気ブランド","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用 / 未売却ダミー","メルカリ","アウター","レザージャケット","4910","0","0","10","selling",""
"DUMMY-202505-0062","イエロー サンダル 訳あり","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","メルカリ","シューズ","サンダル","2800","5300","1000","10","sold","2025-05-21"
"DUMMY-202505-0063","カーキ スラックス ヴィンテージ","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用 / 未売却ダミー","メルカリ","ボトムス","スラックス","2470","0","0","10","selling",""
"DUMMY-202505-0064","ネイビー ブーツ 美品","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","メルカリ","シューズ","ブーツ","3110","7900","520","10","sold","2025-05-22"
"DUMMY-202505-0065","ブラウン トートバッグ 90s","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用 / 未売却ダミー","メルカリ","バッグ","トートバッグ","2950","0","0","10","selling",""
"DUMMY-202505-0066","ホワイト ダウン 90s","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","ヤフオク","アウター","ダウン","4670","9700","1400","10","sold","2025-05-28"
"DUMMY-202505-0067","ベージュ デニム 使用感あり","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","Yahooフリマ","ボトムス","デニム","2470","7800","450","5","sold","2025-05-31"
"DUMMY-202505-0068","ネイビー スウェット きれいめ","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","メルカリ","トップス","スウェット","3310","8300","450","10","sold","2025-05-20"
"DUMMY-202505-0069","ブラウン スラックス きれいめ","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用 / 未売却ダミー","ヤフオク","ボトムス","スラックス","2840","0","0","10","selling",""
"DUMMY-202505-0070","グリーン ショートパンツ 使用感あり","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","メルカリ","ボトムス","ショートパンツ","2350","5500","750","10","sold","2025-05-29"
"DUMMY-202505-0071","グリーン ショルダーバッグ 良品","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","その他","バッグ","ショルダーバッグ","4380","10000","850","0","sold","2025-05-18"
"DUMMY-202505-0072","ネイビー 腕時計 良品","CSVダミーデータ 2025年5月 売上・利益・ジャンル分析検証用","ヤフオク","アクセサリー","腕時計","1620","4200","210","10","sold","2025-05-10"
"DUMMY-202506-0073","ブラウン ブーツ 一点物","CSVダミーデータ 2025年6月 売上・利益・ジャンル分析検証用","ラクマ","シューズ","ブーツ","3620","5500","850","10","sold","2025-06-19"
"DUMMY-202506-0074","ブラウン ナイロンジャケット ヴィンテージ","CSVダミーデータ 2025年6月 売上・利益・ジャンル分析検証用","Yahooフリマ","アウター","ナイロンジャケット","4550","5400","1200","5","sold","2025-06-29"
"DUMMY-202506-0075","カーキ スニーカー 使用感あり","CSVダミーデータ 2025年6月 売上・利益・ジャンル分析検証用","Yahooフリマ","シューズ","スニーカー","4260","9900","1000","5","sold","2025-06-10"
"DUMMY-202506-0076","ブルー リュック ストリート","CSVダミーデータ 2025年6月 売上・利益・ジャンル分析検証用","ラクマ","バッグ","リュック","3960","9200","1000","10","sold","2025-06-17"
"DUMMY-202506-0077","パープル スウェット 一点物","CSVダミーデータ 2025年6月 売上・利益・ジャンル分析検証用","ヤフオク","トップス","スウェット","1940","3200","750","10","sold","2025-06-24"
"DUMMY-202506-0078","ホワイト ショルダーバッグ 美品","CSVダミーデータ 2025年6月 売上・利益・ジャンル分析検証用","ヤフオク","バッグ","ショルダーバッグ","3370","7300","1000","10","sold","2025-06-26"
"DUMMY-202506-0079","カーキ ダウン きれいめ","CSVダミーデータ 2025年6月 売上・利益・ジャンル分析検証用","Yahooフリマ","アウター","ダウン","6290","9200","1000","5","sold","2025-06-14"
"DUMMY-202506-0080","ブラウン パーカー きれいめ","CSVダミーデータ 2025年6月 売上・利益・ジャンル分析検証用","ヤフオク","トップス","パーカー","2930","5900","520","10","sold","2025-06-08"
"DUMMY-202506-0081","パープル スニーカー 人気ブランド","CSVダミーデータ 2025年6月 売上・利益・ジャンル分析検証用","メルカリ","シューズ","スニーカー","4100","11000","520","10","sold","2025-06-11"
"DUMMY-202507-0082","グレー パーカー 美品","CSVダミーデータ 2025年7月 売上・利益・ジャンル分析検証用","ヤフオク","トップス","パーカー","3070","9600","450","10","sold","2025-07-11"
"DUMMY-202507-0083","グレー レザージャケット 人気ブランド","CSVダミーデータ 2025年7月 売上・利益・ジャンル分析検証用","Yahooフリマ","アウター","レザージャケット","5410","15000","850","5","sold","2025-07-04"
"DUMMY-202507-0084","ベージュ ナイロンジャケット ヴィンテージ","CSVダミーデータ 2025年7月 売上・利益・ジャンル分析検証用","ヤフオク","アウター","ナイロンジャケット","5350","10000","1400","10","sold","2025-07-24"
"DUMMY-202507-0085","イエロー ナイロンジャケット 使用感あり","CSVダミーデータ 2025年7月 売上・利益・ジャンル分析検証用","メルカリ","アウター","ナイロンジャケット","5620","9800","1400","10","sold","2025-07-24"
"DUMMY-202507-0086","イエロー ショートパンツ 一点物","CSVダミーデータ 2025年7月 売上・利益・ジャンル分析検証用","メルカリ","ボトムス","ショートパンツ","2010","4000","210","10","sold","2025-07-14"
"DUMMY-202507-0087","パープル デニム きれいめ","CSVダミーデータ 2025年7月 売上・利益・ジャンル分析検証用","Yahooフリマ","ボトムス","デニム","3080","6900","450","5","sold","2025-07-08"
"DUMMY-202507-0088","ブルー ショートパンツ 人気ブランド","CSVダミーデータ 2025年7月 売上・利益・ジャンル分析検証用","メルカリ","ボトムス","ショートパンツ","2980","5200","450","10","sold","2025-07-18"
"DUMMY-202507-0089","ベージュ ブーツ 訳あり","CSVダミーデータ 2025年7月 売上・利益・ジャンル分析検証用 / 未売却ダミー","メルカリ","シューズ","ブーツ","3000","0","0","10","selling",""
"DUMMY-202507-0090","イエロー スニーカー きれいめ","CSVダミーデータ 2025年7月 売上・利益・ジャンル分析検証用","Yahooフリマ","シューズ","スニーカー","3180","8800","520","5","sold","2025-07-22"
"DUMMY-202507-0091","レッド ショルダーバッグ 美品","CSVダミーデータ 2025年7月 売上・利益・ジャンル分析検証用","Yahooフリマ","バッグ","ショルダーバッグ","3310","6400","1000","5","sold","2025-07-03"
"DUMMY-202507-0092","ベージュ スラックス ストリート","CSVダミーデータ 2025年7月 売上・利益・ジャンル分析検証用","ヤフオク","ボトムス","スラックス","3050","6500","520","10","sold","2025-07-22"
"DUMMY-202507-0093","グレー ニット 人気ブランド","CSVダミーデータ 2025年7月 売上・利益・ジャンル分析検証用","ラクマ","トップス","ニット","2650","5100","750","10","sold","2025-07-08"
"DUMMY-202507-0094","グリーン チノパン きれいめ","CSVダミーデータ 2025年7月 売上・利益・ジャンル分析検証用","Yahooフリマ","ボトムス","チノパン","3480","9000","230","5","sold","2025-07-28"
"DUMMY-202507-0095","ベージュ コート ストリート","CSVダミーデータ 2025年7月 売上・利益・ジャンル分析検証用","ラクマ","アウター","コート","5650","9600","850","10","sold","2025-07-20"
"DUMMY-202507-0096","カーキ ニット ヴィンテージ","CSVダミーデータ 2025年7月 売上・利益・ジャンル分析検証用","Yahooフリマ","トップス","ニット","2220","5300","750","5","sold","2025-07-07"
"DUMMY-202507-0097","パープル その他 ヴィンテージ","CSVダミーデータ 2025年7月 売上・利益・ジャンル分析検証用 / 未売却ダミー","メルカリ","その他","その他","1720","0","0","10","selling",""
"DUMMY-202508-0098","ブラック スウェット 訳あり","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","Yahooフリマ","トップス","スウェット","1920","4600","750","5","sold","2025-08-28"
"DUMMY-202508-0099","ベージュ その他 ヴィンテージ","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","メルカリ","その他","その他","970","3200","210","10","sold","2025-08-31"
"DUMMY-202508-0100","グレー Gジャン 訳あり","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","Yahooフリマ","アウター","Gジャン","7850","16900","1400","5","sold","2025-08-01"
"DUMMY-202508-0101","カーキ レザージャケット ストリート","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","Yahooフリマ","アウター","レザージャケット","6350","19000","750","5","sold","2025-08-25"
"DUMMY-202508-0102","ブルー 革靴 訳あり","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","Yahooフリマ","シューズ","革靴","3920","7900","850","5","sold","2025-08-21"
"DUMMY-202508-0103","ブラウン 革靴 良品","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","Yahooフリマ","シューズ","革靴","4460","14300","1000","5","sold","2025-08-22"
"DUMMY-202508-0104","ブラック 腕時計 美品","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","ヤフオク","アクセサリー","腕時計","1300","3000","210","10","sold","2025-08-20"
"DUMMY-202508-0105","カーキ Tシャツ ストリート","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","ラクマ","トップス","Tシャツ","2260","5100","230","10","sold","2025-08-13"
"DUMMY-202508-0106","ホワイト ニット 良品","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","メルカリ","トップス","ニット","2790","6000","520","10","sold","2025-08-06"
"DUMMY-202508-0107","ブラック スウェット 美品","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","Yahooフリマ","トップス","スウェット","3080","11100","750","5","sold","2025-08-16"
"DUMMY-202508-0108","ベージュ 革靴 訳あり","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","ラクマ","シューズ","革靴","3900","4900","750","10","sold","2025-08-17"
"DUMMY-202508-0109","パープル ニット 一点物","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","ヤフオク","トップス","ニット","2030","5000","520","10","sold","2025-08-27"
"DUMMY-202508-0110","ブルー ショートパンツ 一点物","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","メルカリ","ボトムス","ショートパンツ","2440","4300","750","10","sold","2025-08-19"
"DUMMY-202508-0111","イエロー ボストンバッグ ストリート","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","ヤフオク","バッグ","ボストンバッグ","3850","12400","850","10","sold","2025-08-16"
"DUMMY-202508-0112","ホワイト 革靴 90s","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用 / 下書きダミー","メルカリ","シューズ","革靴","4220","0","0","10","draft",""
"DUMMY-202508-0113","レッド パーカー 訳あり","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","メルカリ","トップス","パーカー","2220","6500","450","10","sold","2025-08-01"
"DUMMY-202508-0114","ブラウン Tシャツ ヴィンテージ","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","その他","トップス","Tシャツ","2430","4100","210","0","sold","2025-08-13"
"DUMMY-202508-0115","カーキ デニム ヴィンテージ","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","Yahooフリマ","ボトムス","デニム","2250","6700","520","5","sold","2025-08-01"
"DUMMY-202508-0116","ベージュ スラックス 人気ブランド","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","ラクマ","ボトムス","スラックス","2930","8000","750","10","sold","2025-08-06"
"DUMMY-202508-0117","イエロー シャツ 90s","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","メルカリ","トップス","シャツ","2350","7000","520","10","sold","2025-08-16"
"DUMMY-202508-0118","グリーン レザージャケット 美品","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","ヤフオク","アウター","レザージャケット","7920","20800","1200","10","sold","2025-08-04"
"DUMMY-202508-0119","グリーン その他 一点物","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","ヤフオク","その他","その他","1790","4000","450","10","sold","2025-08-02"
"DUMMY-202508-0120","イエロー チノパン 一点物","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","Yahooフリマ","ボトムス","チノパン","3080","6700","750","5","sold","2025-08-29"
"DUMMY-202508-0121","レッド パーカー 一点物","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","ヤフオク","トップス","パーカー","3060","8700","210","10","sold","2025-08-10"
"DUMMY-202508-0122","グレー トートバッグ 90s","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","Yahooフリマ","バッグ","トートバッグ","3680","8500","750","5","sold","2025-08-05"
"DUMMY-202508-0123","ブラウン その他 訳あり","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","メルカリ","その他","その他","1210","2300","230","10","sold","2025-08-12"
"DUMMY-202508-0124","グリーン スニーカー 人気ブランド","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","メルカリ","シューズ","スニーカー","4260","8600","750","10","sold","2025-08-03"
"DUMMY-202508-0125","グリーン ベルト 一点物","CSVダミーデータ 2025年8月 売上・利益・ジャンル分析検証用","ヤフオク","アクセサリー","ベルト","1790","4900","230","10","sold","2025-08-10"
"DUMMY-202509-0126","ホワイト スラックス 美品","CSVダミーデータ 2025年9月 売上・利益・ジャンル分析検証用","ヤフオク","ボトムス","スラックス","3110","6500","230","10","sold","2025-09-13"
"DUMMY-202509-0127","ホワイト ダウン ストリート","CSVダミーデータ 2025年9月 売上・利益・ジャンル分析検証用","ヤフオク","アウター","ダウン","4710","8600","1400","10","sold","2025-09-04"
"DUMMY-202509-0128","ブルー 帽子 美品","CSVダミーデータ 2025年9月 売上・利益・ジャンル分析検証用 / 未売却ダミー","メルカリ","アクセサリー","帽子","2200","0","0","10","selling",""
"DUMMY-202509-0129","イエロー 腕時計 90s","CSVダミーデータ 2025年9月 売上・利益・ジャンル分析検証用","Yahooフリマ","アクセサリー","腕時計","1030","1400","210","5","sold","2025-09-22"
"DUMMY-202509-0130","ネイビー スラックス ストリート","CSVダミーデータ 2025年9月 売上・利益・ジャンル分析検証用","Yahooフリマ","ボトムス","スラックス","2930","5200","450","5","sold","2025-09-26"
"DUMMY-202509-0131","ブラック ネックレス きれいめ","CSVダミーデータ 2025年9月 売上・利益・ジャンル分析検証用","メルカリ","アクセサリー","ネックレス","2030","4100","300","10","sold","2025-09-07"
"DUMMY-202509-0132","ブラウン リュック 美品","CSVダミーデータ 2025年9月 売上・利益・ジャンル分析検証用","Yahooフリマ","バッグ","リュック","3600","8500","750","5","sold","2025-09-24"
"DUMMY-202509-0133","パープル コート 良品","CSVダミーデータ 2025年9月 売上・利益・ジャンル分析検証用","メルカリ","アウター","コート","3890","7600","750","10","sold","2025-09-09"
"DUMMY-202509-0134","ブルー Tシャツ 美品","CSVダミーデータ 2025年9月 売上・利益・ジャンル分析検証用","ヤフオク","トップス","Tシャツ","2000","3500","520","10","sold","2025-09-15"
"DUMMY-202509-0135","ネイビー ナイロンジャケット きれいめ","CSVダミーデータ 2025年9月 売上・利益・ジャンル分析検証用","メルカリ","アウター","ナイロンジャケット","4800","11500","850","10","sold","2025-09-26"
"DUMMY-202509-0136","グレー リュック 使用感あり","CSVダミーデータ 2025年9月 売上・利益・ジャンル分析検証用","ヤフオク","バッグ","リュック","3900","8600","1000","10","sold","2025-09-24"
"DUMMY-202509-0137","カーキ ショートパンツ 使用感あり","CSVダミーデータ 2025年9月 売上・利益・ジャンル分析検証用","ヤフオク","ボトムス","ショートパンツ","3990","8200","230","10","sold","2025-09-19"
"DUMMY-202509-0138","イエロー ニット 人気ブランド","CSVダミーデータ 2025年9月 売上・利益・ジャンル分析検証用","メルカリ","トップス","ニット","3000","5400","750","10","sold","2025-09-15"
"DUMMY-202509-0139","グレー スラックス ヴィンテージ","CSVダミーデータ 2025年9月 売上・利益・ジャンル分析検証用","メルカリ","ボトムス","スラックス","3370","5100","520","10","sold","2025-09-27"
"DUMMY-202510-0140","ベージュ ニット 使用感あり","CSVダミーデータ 2025年10月 売上・利益・ジャンル分析検証用","Yahooフリマ","トップス","ニット","3290","8600","750","5","sold","2025-10-29"
