product_id,product_name,condition,purchase_unit_cost,purchase_quantity,quantity_available,inventory_status,description_base,purchase_date,purchase_shipping_cost,other_purchase_expense,manufacturer_model_number,storage_location,memo
"DEMO-202607-0016","オリーブ クルーネックスウェット","new","2800","1","0","out_of_stock","デモ商品です。クルーネックスウェットの状態と相場を確認して出品してください。","2026-07-15","450","0","DEMO-00016","棚A-01","2026年7月仕入れのデモデータ"
"DEMO-202607-0028","アイボリー チノトラウザー","used_good","2100","1","1","listed","デモ商品です。チノトラウザーの状態と相場を確認して出品してください。","2026-07-17","450","200","DEMO-00028","保管箱-02","2026年7月仕入れのデモデータ"
"DEMO-202607-0017","ブラック ナイロンショーツ","like_new","1700","1","0","out_of_stock","デモ商品です。ナイロンショーツの状態と相場を確認して出品してください。","2026-07-21","230","0","DEMO-00017","棚B-02","2026年7月仕入れのデモデータ"
"DEMO-202607-0029","ブラック オックスフォードシャツ","junk","2800","1","0","out_of_stock","デモ商品です。オックスフォードシャツの状態と相場を確認して出品してください。","2026-07-21","230","300","DEMO-00029","棚C-01","2026年7月仕入れのデモデータ"
"DEMO-202607-0018","ベージュ セルビッジデニム","damaged","3300","1","1","listed","デモ商品です。セルビッジデニムの状態と相場を確認して出品してください。","2026-07-24","520","200","DEMO-00018","棚B-01","2026年7月仕入れのデモデータ"
"DEMO-202607-0019","ネイビー ナイロンショーツ","new","1200","1","1","draft","デモ商品です。ナイロンショーツの状態と相場を確認して出品してください。","2026-07-28","230","0","DEMO-00019","棚A-02","2026年7月仕入れのデモデータ"
"DEMO-202607-0026","オリーブ クォーツ腕時計","like_new","4600","1","1","listed","デモ商品です。クォーツ腕時計の状態と相場を確認して出品してください。","2026-07-28","450","0","DEMO-00026","棚B-02","2026年7月仕入れのデモデータ"
"DEMO-202608-0048","オリーブ クルーネックスウェット","damaged","1900","1","1","in_stock","デモ商品です。クルーネックスウェットの状態と相場を確認して出品してください。","2026-08-03","450","0","DEMO-00048","保管箱-02","2026年8月仕入れのデモデータ"
"DEMO-202608-0050","ベージュ クルーネックスウェット","unused","2200","1","0","out_of_stock","デモ商品です。クルーネックスウェットの状態と相場を確認して出品してください。","2026-08-03","450","0","DEMO-00050","棚C-01","2026年8月仕入れのデモデータ"
"DEMO-202608-0041","アイボリー コットンTシャツ","junk","900","1","0","out_of_stock","デモ商品です。コットンTシャツの状態と相場を確認して出品してください。","2026-08-06","230","200","DEMO-00041","ラック-03","2026年8月仕入れのデモデータ"
"DEMO-202608-0037","ベージュ セルビッジデニム","damaged","2700","1","1","listed","デモ商品です。セルビッジデニムの状態と相場を確認して出品してください。","2026-08-09","520","200","DEMO-00037","保管箱-01","2026年8月仕入れのデモデータ"
"DEMO-202608-0046","ブラック キャンバストート","junk","1000","1","0","out_of_stock","デモ商品です。キャンバストートの状態と相場を確認して出品してください。","2026-08-09","520","200","DEMO-00046","棚A-01","2026年8月仕入れのデモデータ"
"DEMO-202608-0047","ブルー コットンTシャツ","used_good","700","1","0","out_of_stock","デモ商品です。コットンTシャツの状態と相場を確認して出品してください。","2026-08-11","230","0","DEMO-00047","保管箱-02","2026年8月仕入れのデモデータ"
"DEMO-202608-0040","ブルー オックスフォードシャツ","used_good","900","1","0","out_of_stock","デモ商品です。オックスフォードシャツの状態と相場を確認して出品してください。","2026-08-12","230","300","DEMO-00040","保管箱-02","2026年8月仕入れのデモデータ"
"DEMO-202608-0052","カーキ クォーツ腕時計","new","5600","1","1","in_stock","デモ商品です。クォーツ腕時計の状態と相場を確認して出品してください。","2026-08-12","450","300","DEMO-00052","保管箱-02","2026年8月仕入れのデモデータ"
"DEMO-202608-0033","グレー オックスフォードシャツ","damaged","2800","1","1","in_stock","デモ商品です。オックスフォードシャツの状態と相場を確認して出品してください。","2026-08-13","230","200","DEMO-00033","保管箱-01","2026年8月仕入れのデモデータ"
"DEMO-202608-0032","グレー ナイロンショーツ","used","800","1","0","out_of_stock","デモ商品です。ナイロンショーツの状態と相場を確認して出品してください。","2026-08-14","230","300","DEMO-00032","棚A-02","2026年8月仕入れのデモデータ"
"DEMO-202608-0042","グレー ナイロンショーツ","junk","1400","1","0","out_of_stock","デモ商品です。ナイロンショーツの状態と相場を確認して出品してください。","2026-08-14","230","300","DEMO-00042","ラック-03","2026年8月仕入れのデモデータ"
"DEMO-202608-0035","ブルー ナイロンリュック","new","2000","1","1","in_stock","デモ商品です。ナイロンリュックの状態と相場を確認して出品してください。","2026-08-16","750","0","DEMO-00035","棚C-01","2026年8月仕入れのデモデータ"
"DEMO-202608-0043","カーキ ナイロンリュック","damaged","4700","1","1","listed","デモ商品です。ナイロンリュックの状態と相場を確認して出品してください。","2026-08-18","750","0","DEMO-00043","棚C-01","2026年8月仕入れのデモデータ"
"DEMO-202608-0051","アイボリー ランニングスニーカー","used","4200","1","1","in_stock","デモ商品です。ランニングスニーカーの状態と相場を確認して出品してください。","2026-08-18","750","0","DEMO-00051","棚C-01","2026年8月仕入れのデモデータ"
"DEMO-202608-0044","ブラック ナイロンショーツ","damaged","2000","1","0","out_of_stock","デモ商品です。ナイロンショーツの状態と相場を確認して出品してください。","2026-08-21","230","200","DEMO-00044","棚A-02","2026年8月仕入れのデモデータ"
"DEMO-202608-0038","グレー オックスフォードシャツ","damaged","1800","1","0","out_of_stock","デモ商品です。オックスフォードシャツの状態と相場を確認して出品してください。","2026-08-24","230","0","DEMO-00038","棚B-01","2026年8月仕入れのデモデータ"
"DEMO-202608-0039","ブラウン ランニングスニーカー","used_good","3400","1","0","out_of_stock","デモ商品です。ランニングスニーカーの状態と相場を確認して出品してください。","2026-08-25","750","300","DEMO-00039","棚B-02","2026年8月仕入れのデモデータ"
"DEMO-202608-0045","ネイビー クォーツ腕時計","new","5800","1","1","listed","デモ商品です。クォーツ腕時計の状態と相場を確認して出品してください。","2026-08-26","450","300","DEMO-00045","ラック-03","2026年8月仕入れのデモデータ"
"DEMO-202608-0036","カーキ チノトラウザー","used","1700","1","0","out_of_stock","デモ商品です。チノトラウザーの状態と相場を確認して出品してください。","2026-08-28","450","300","DEMO-00036","棚B-02","2026年8月仕入れのデモデータ"
"DEMO-202608-0049","ブラック オックスフォードシャツ","used_good","2600","1","0","out_of_stock","デモ商品です。オックスフォードシャツの状態と相場を確認して出品してください。","2026-08-29","230","0","DEMO-00049","棚B-02","2026年8月仕入れのデモデータ"
"DEMO-202608-0034","ベージュ コットンTシャツ","unused","1700","1","0","out_of_stock","デモ商品です。コットンTシャツの状態と相場を確認して出品してください。","2026-08-30","230","300","DEMO-00034","棚B-01","2026年8月仕入れのデモデータ"
"DEMO-202609-0054","オリーブ レザーブーツ","unused","3200","1","1","listed","デモ商品です。レザーブーツの状態と相場を確認して出品してください。","2026-09-01","1000","0","DEMO-00054","棚A-02","2026年9月仕入れのデモデータ"
"DEMO-202609-0053","オリーブ デニムジャケット","unused","3800","1","0","out_of_stock","デモ商品です。デニムジャケットの状態と相場を確認して出品してください。","2026-09-06","750","200","DEMO-00053","棚C-01","2026年9月仕入れのデモデータ"
"DEMO-202609-0057","ブラウン ウールスラックス","used","1300","1","0","out_of_stock","デモ商品です。ウールスラックスの状態と相場を確認して出品してください。","2026-09-07","520","200","DEMO-00057","ラック-03","2026年9月仕入れのデモデータ"
"DEMO-202609-0062","アイボリー ウール混ニット","unused","1600","1","0","out_of_stock","デモ商品です。ウール混ニットの状態と相場を確認して出品してください。","2026-09-18","520","0","DEMO-00062","棚A-02","2026年9月仕入れのデモデータ"
"DEMO-202609-0055","カーキ チノトラウザー","unused","3000","1","0","out_of_stock","デモ商品です。チノトラウザーの状態と相場を確認して出品してください。","2026-09-19","450","0","DEMO-00055","保管箱-01","2026年9月仕入れのデモデータ"
"DEMO-202609-0061","ブラック クルーネックスウェット","new","2100","1","0","out_of_stock","デモ商品です。クルーネックスウェットの状態と相場を確認して出品してください。","2026-09-19","450","0","DEMO-00061","保管箱-02","2026年9月仕入れのデモデータ"
"DEMO-202609-0063","グレー オックスフォードシャツ","used","1700","1","1","listed","デモ商品です。オックスフォードシャツの状態と相場を確認して出品してください。","2026-09-19","230","0","DEMO-00063","棚B-01","2026年9月仕入れのデモデータ"
"DEMO-202609-0056","オリーブ ナイロンリュック","new","4700","1","1","listed","デモ商品です。ナイロンリュックの状態と相場を確認して出品してください。","2026-09-23","750","0","DEMO-00056","棚A-01","2026年9月仕入れのデモデータ"
"DEMO-202609-0058","ネイビー ウールスラックス","damaged","4000","1","0","out_of_stock","デモ商品です。ウールスラックスの状態と相場を確認して出品してください。","2026-09-25","520","0","DEMO-00058","棚B-01","2026年9月仕入れのデモデータ"
"DEMO-202609-0060","ブラック レザーブーツ","used","11100","1","0","out_of_stock","デモ商品です。レザーブーツの状態と相場を確認して出品してください。","2026-09-26","1000","0","DEMO-00060","棚B-02","2026年9月仕入れのデモデータ"
"DEMO-202609-0059","オリーブ デニムジャケット","unused","3700","1","1","listed","デモ商品です。デニムジャケットの状態と相場を確認して出品してください。","2026-09-27","750","0","DEMO-00059","保管箱-01","2026年9月仕入れのデモデータ"
"DEMO-202610-0068","カーキ オックスフォードシャツ","damaged","1600","1","1","listed","デモ商品です。オックスフォードシャツの状態と相場を確認して出品してください。","2026-10-04","230","200","DEMO-00068","ラック-03","2026年10月仕入れのデモデータ"
"DEMO-202610-0067","アイボリー オックスフォードシャツ","new","900","1","1","in_stock","デモ商品です。オックスフォードシャツの状態と相場を確認して出品してください。","2026-10-05","230","0","DEMO-00067","棚C-01","2026年10月仕入れのデモデータ"
"DEMO-202610-0075","ベージュ コットンTシャツ","like_new","1200","1","0","out_of_stock","デモ商品です。コットンTシャツの状態と相場を確認して出品してください。","2026-10-08","230","0","DEMO-00075","棚B-02","2026年10月仕入れのデモデータ"
"DEMO-202610-0076","グレー ナイロンリュック","like_new","2400","1","1","listed","デモ商品です。ナイロンリュックの状態と相場を確認して出品してください。","2026-10-15","750","300","DEMO-00076","棚A-02","2026年10月仕入れのデモデータ"
"DEMO-202610-0069","アイボリー ウールスラックス","used","2400","1","0","out_of_stock","デモ商品です。ウールスラックスの状態と相場を確認して出品してください。","2026-10-17","520","300","DEMO-00069","保管箱-01","2026年10月仕入れのデモデータ"
"DEMO-202610-0071","ブラウン クォーツ腕時計","used_good","11100","1","1","in_stock","デモ商品です。クォーツ腕時計の状態と相場を確認して出品してください。","2026-10-20","450","100","DEMO-00071","ラック-03","2026年10月仕入れのデモデータ"
"DEMO-202610-0077","ブルー ウール混ニット","used_good","3800","1","0","out_of_stock","デモ商品です。ウール混ニットの状態と相場を確認して出品してください。","2026-10-21","520","100","DEMO-00077","棚A-02","2026年10月仕入れのデモデータ"
"DEMO-202610-0064","ブルー クルーネックスウェット","unused","3500","1","1","listed","デモ商品です。クルーネックスウェットの状態と相場を確認して出品してください。","2026-10-25","450","100","DEMO-00064","棚A-02","2026年10月仕入れのデモデータ"
"DEMO-202610-0070","ブラウン クルーネックスウェット","damaged","2400","1","1","in_stock","デモ商品です。クルーネックスウェットの状態と相場を確認して出品してください。","2026-10-27","450","100","DEMO-00070","棚C-01","2026年10月仕入れのデモデータ"
"DEMO-202610-0072","ベージュ チノトラウザー","new","1700","1","0","out_of_stock","デモ商品です。チノトラウザーの状態と相場を確認して出品してください。","2026-10-27","450","0","DEMO-00072","棚B-02","2026年10月仕入れのデモデータ"
"DEMO-202610-0074","ブルー オックスフォードシャツ","used_good","1000","1","0","out_of_stock","デモ商品です。オックスフォードシャツの状態と相場を確認して出品してください。","2026-10-27","230","0","DEMO-00074","棚C-01","2026年10月仕入れのデモデータ"
"DEMO-202610-0065","ブルー デニムジャケット","junk","2200","1","1","listed","デモ商品です。デニムジャケットの状態と相場を確認して出品してください。","2026-10-28","750","0","DEMO-00065","棚A-02","2026年10月仕入れのデモデータ"
"DEMO-202610-0066","ブラウン ウール混ニット","damaged","1900","1","0","out_of_stock","デモ商品です。ウール混ニットの状態と相場を確認して出品してください。","2026-10-29","520","100","DEMO-00066","棚B-01","2026年10月仕入れのデモデータ"
"DEMO-202610-0073","ブルー レザーブーツ","junk","9400","1","0","out_of_stock","デモ商品です。レザーブーツの状態と相場を確認して出品してください。","2026-10-31","1000","0","DEMO-00073","保管箱-01","2026年10月仕入れのデモデータ"
"DEMO-202611-0088","グレー ウール混ニット","junk","2100","1","1","draft","デモ商品です。ウール混ニットの状態と相場を確認して出品してください。","2026-11-01","520","200","DEMO-00088","保管箱-01","2026年11月仕入れのデモデータ"
"DEMO-202611-0089","ブルー ランニングスニーカー","used","2100","1","1","listed","デモ商品です。ランニングスニーカーの状態と相場を確認して出品してください。","2026-11-03","750","100","DEMO-00089","棚A-01","2026年11月仕入れのデモデータ"
"DEMO-202611-0094","アイボリー レザージャケット","new","8900","1","1","listed","デモ商品です。レザージャケットの状態と相場を確認して出品してください。","2026-11-03","1000","200","DEMO-00094","ラック-03","2026年11月仕入れのデモデータ"
"DEMO-202611-0079","ネイビー チノトラウザー","unused","3000","1","1","listed","デモ商品です。チノトラウザーの状態と相場を確認して出品してください。","2026-11-04","450","300","DEMO-00079","保管箱-01","2026年11月仕入れのデモデータ"
"DEMO-202611-0086","グレー ランニングスニーカー","like_new","8000","1","0","out_of_stock","デモ商品です。ランニングスニーカーの状態と相場を確認して出品してください。","2026-11-04","750","0","DEMO-00086","棚C-01","2026年11月仕入れのデモデータ"
"DEMO-202611-0098","ベージュ レザージャケット","junk","12400","1","0","out_of_stock","デモ商品です。レザージャケットの状態と相場を確認して出品してください。","2026-11-08","1000","0","DEMO-00098","棚B-01","2026年11月仕入れのデモデータ"
"DEMO-202611-0099","カーキ クォーツ腕時計","junk","10400","1","1","listed","デモ商品です。クォーツ腕時計の状態と相場を確認して出品してください。","2026-11-08","450","300","DEMO-00099","棚B-02","2026年11月仕入れのデモデータ"
"DEMO-202611-0083","オリーブ ウールコート","used_good","9100","1","1","listed","デモ商品です。ウールコートの状態と相場を確認して出品してください。","2026-11-10","1200","0","DEMO-00083","棚A-01","2026年11月仕入れのデモデータ"
"DEMO-202611-0082","ブラウン クルーネックスウェット","used","3500","1","1","listed","デモ商品です。クルーネックスウェットの状態と相場を確認して出品してください。","2026-11-11","450","300","DEMO-00082","保管箱-02","2026年11月仕入れのデモデータ"
"DEMO-202611-0090","ブラウン ダウンジャケット","new","7800","1","0","out_of_stock","デモ商品です。ダウンジャケットの状態と相場を確認して出品してください。","2026-11-13","1200","300","DEMO-00090","ラック-03","2026年11月仕入れのデモデータ"
"DEMO-202611-0084","ベージュ ランニングスニーカー","new","7700","1","0","out_of_stock","デモ商品です。ランニングスニーカーの状態と相場を確認して出品してください。","2026-11-14","750","0","DEMO-00084","棚B-01","2026年11月仕入れのデモデータ"
"DEMO-202611-0097","ブラック ジップパーカー","damaged","2300","1","0","out_of_stock","デモ商品です。ジップパーカーの状態と相場を確認して出品してください。","2026-11-15","520","0","DEMO-00097","保管箱-01","2026年11月仕入れのデモデータ"
"DEMO-202611-0093","オリーブ ウール混ニット","junk","1200","1","1","in_stock","デモ商品です。ウール混ニットの状態と相場を確認して出品してください。","2026-11-17","520","100","DEMO-00093","棚A-02","2026年11月仕入れのデモデータ"
"DEMO-202611-0103","ブルー ウールコート","junk","12400","1","1","listed","デモ商品です。ウールコートの状態と相場を確認して出品してください。","2026-11-17","1200","0","DEMO-00103","保管箱-01","2026年11月仕入れのデモデータ"
"DEMO-202611-0102","ブルー ウールコート","damaged","13300","1","0","out_of_stock","デモ商品です。ウールコートの状態と相場を確認して出品してください。","2026-11-20","1200","300","DEMO-00102","棚B-01","2026年11月仕入れのデモデータ"
"DEMO-202611-0096","カーキ オックスフォードシャツ","unused","1700","1","0","out_of_stock","デモ商品です。オックスフォードシャツの状態と相場を確認して出品してください。","2026-11-22","230","0","DEMO-00096","棚C-01","2026年11月仕入れのデモデータ"
"DEMO-202611-0100","ベージュ ウール混ニット","like_new","1200","1","0","out_of_stock","デモ商品です。ウール混ニットの状態と相場を確認して出品してください。","2026-11-23","520","300","DEMO-00100","棚C-01","2026年11月仕入れのデモデータ"
"DEMO-202611-0091","ブラック レザーブーツ","used","7200","1","0","out_of_stock","デモ商品です。レザーブーツの状態と相場を確認して出品してください。","2026-11-24","1000","300","DEMO-00091","ラック-03","2026年11月仕入れのデモデータ"
"DEMO-202611-0092","オリーブ クルーネックスウェット","unused","1200","1","0","out_of_stock","デモ商品です。クルーネックスウェットの状態と相場を確認して出品してください。","2026-11-26","450","0","DEMO-00092","棚A-01","2026年11月仕入れのデモデータ"
"DEMO-202611-0078","ネイビー ダウンジャケット","used","9100","1","0","out_of_stock","デモ商品です。ダウンジャケットの状態と相場を確認して出品してください。","2026-11-27","1200","300","DEMO-00078","棚B-01","2026年11月仕入れのデモデータ"
"DEMO-202611-0080","ベージュ ダウンジャケット","unused","5400","1","0","out_of_stock","デモ商品です。ダウンジャケットの状態と相場を確認して出品してください。","2026-11-27","1200","200","DEMO-00080","棚B-02","2026年11月仕入れのデモデータ"
"DEMO-202611-0081","ブラック ウールコート","damaged","13800","1","0","out_of_stock","デモ商品です。ウールコートの状態と相場を確認して出品してください。","2026-11-27","1200","300","DEMO-00081","保管箱-02","2026年11月仕入れのデモデータ"
"DEMO-202611-0087","グレー オックスフォードシャツ","damaged","1700","1","1","listed","デモ商品です。オックスフォードシャツの状態と相場を確認して出品してください。","2026-11-27","230","200","DEMO-00087","棚C-01","2026年11月仕入れのデモデータ"
"DEMO-202611-0085","アイボリー レザーブーツ","junk","11000","1","0","out_of_stock","デモ商品です。レザーブーツの状態と相場を確認して出品してください。","2026-11-28","1000","100","DEMO-00085","棚B-02","2026年11月仕入れのデモデータ"
"DEMO-202611-0095","ネイビー レザーブーツ","unused","5500","1","0","out_of_stock","デモ商品です。レザーブーツの状態と相場を確認して出品してください。","2026-11-29","1000","100","DEMO-00095","棚A-01","2026年11月仕入れのデモデータ"
"DEMO-202611-0101","ブルー レザージャケット","used_good","14300","1","0","out_of_stock","デモ商品です。レザージャケットの状態と相場を確認して出品してください。","2026-11-29","1000","300","DEMO-00101","棚B-02","2026年11月仕入れのデモデータ"
"DEMO-202612-0115","ブラック クルーネックスウェット","damaged","3600","1","0","out_of_stock","デモ商品です。クルーネックスウェットの状態と相場を確認して出品してください。","2026-12-01","450","0","DEMO-00115","棚B-01","2026年12月仕入れのデモデータ"
"DEMO-202612-0128","アイボリー ウール混ニット","damaged","3500","1","0","out_of_stock","デモ商品です。ウール混ニットの状態と相場を確認して出品してください。","2026-12-02","520","100","DEMO-00128","保管箱-01","2026年12月仕入れのデモデータ"
"DEMO-202612-0105","ブラウン ウールスラックス","unused","3600","1","0","out_of_stock","デモ商品です。ウールスラックスの状態と相場を確認して出品してください。","2026-12-03","520","0","DEMO-00105","棚B-01","2026年12月仕入れのデモデータ"
"DEMO-202612-0111","ブルー オックスフォードシャツ","damaged","800","1","0","out_of_stock","デモ商品です。オックスフォードシャツの状態と相場を確認して出品してください。","2026-12-07","230","0","DEMO-00111","棚C-01","2026年12月仕入れのデモデータ"
"DEMO-202612-0117","ベージュ ナイロンリュック","unused","3200","1","1","listed","デモ商品です。ナイロンリュックの状態と相場を確認して出品してください。","2026-12-08","750","0","DEMO-00117","保管箱-01","2026年12月仕入れのデモデータ"
"DEMO-202612-0125","ブラウン ウール混ニット","damaged","3900","1","0","out_of_stock","デモ商品です。ウール混ニットの状態と相場を確認して出品してください。","2026-12-08","520","0","DEMO-00125","保管箱-02","2026年12月仕入れのデモデータ"
"DEMO-202612-0113","ベージュ レザーブーツ","used","10600","1","1","in_stock","デモ商品です。レザーブーツの状態と相場を確認して出品してください。","2026-12-09","1000","100","DEMO-00113","ラック-03","2026年12月仕入れのデモデータ"
"DEMO-202612-0118","ブラック レザーブーツ","new","8300","1","0","out_of_stock","デモ商品です。レザーブーツの状態と相場を確認して出品してください。","2026-12-11","1000","200","DEMO-00118","棚A-02","2026年12月仕入れのデモデータ"
"DEMO-202612-0106","ブラック ウールコート","used_good","9400","1","0","out_of_stock","デモ商品です。ウールコートの状態と相場を確認して出品してください。","2026-12-12","1200","100","DEMO-00106","ラック-03","2026年12月仕入れのデモデータ"
"DEMO-202612-0116","ブラウン レザーブーツ","junk","6300","1","1","listed","デモ商品です。レザーブーツの状態と相場を確認して出品してください。","2026-12-12","1000","0","DEMO-00116","棚A-01","2026年12月仕入れのデモデータ"
"DEMO-202612-0133","カーキ ランニングスニーカー","damaged","5900","1","0","out_of_stock","デモ商品です。ランニングスニーカーの状態と相場を確認して出品してください。","2026-12-12","750","100","DEMO-00133","棚B-02","2026年12月仕入れのデモデータ"
"DEMO-202612-0108","オリーブ レザーブーツ","junk","11600","1","1","listed","デモ商品です。レザーブーツの状態と相場を確認して出品してください。","2026-12-13","1000","100","DEMO-00108","棚A-01","2026年12月仕入れのデモデータ"
"DEMO-202612-0126","オリーブ クルーネックスウェット","used_good","1100","1","0","out_of_stock","デモ商品です。クルーネックスウェットの状態と相場を確認して出品してください。","2026-12-13","450","0","DEMO-00126","保管箱-02","2026年12月仕入れのデモデータ"
"DEMO-202612-0135","ベージュ ランニングスニーカー","unused","3500","1","1","draft","デモ商品です。ランニングスニーカーの状態と相場を確認して出品してください。","2026-12-13","750","0","DEMO-00135","棚B-02","2026年12月仕入れのデモデータ"
"DEMO-202612-0114","カーキ ダウンジャケット","like_new","12400","1","1","in_stock","デモ商品です。ダウンジャケットの状態と相場を確認して出品してください。","2026-12-14","1200","200","DEMO-00114","保管箱-01","2026年12月仕入れのデモデータ"
"DEMO-202612-0124","ブラック クルーネックスウェット","used","1300","1","1","in_stock","デモ商品です。クルーネックスウェットの状態と相場を確認して出品してください。","2026-12-14","450","0","DEMO-00124","棚C-01","2026年12月仕入れのデモデータ"
"DEMO-202612-0136","オリーブ セルビッジデニム","like_new","1700","1","1","draft","デモ商品です。セルビッジデニムの状態と相場を確認して出品してください。","2026-12-15","520","200","DEMO-00136","棚B-02","2026年12月仕入れのデモデータ"
